signature_id,dataset_id,platform,n_signature_genes,n_mapped_genes,mapped_genes,missing_genes,coverage_fraction,direction_complete,mapping_status,primary_coverage_pass,notes
SIG_ATNF_OSM1,GSE107865_IFX_BLOOD,GPL23159,1,0,,OSM,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE42296_IFX_PBMC,GPL6244,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE52746_IFX_POST,GPL17996,1,0,,OSM,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE100833_CERTIFI,GPL13158,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE112366_UNITI2_ILEUM,GPL13158,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE207022_UNITI2_RECTUM,GPL13158,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE207465_UNITI2_BLOOD,GPL32416,1,0,,OSM,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE206285_UNIFI,GPL13158,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE171770_FUTURE,GPL20301;GPL21290,1,0,,OSM,,TRUE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE234736_VDZ_TCELLS,GPL16791,1,0,,OSM,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE282580_VDZ,GPL32271,1,0,,OSM,,TRUE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,BIOSTOP_JJAG121,Illumina,1,0,,OSM,,TRUE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE12251_ACT1_MH,GPL570,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE23597_ACT1,GPL570,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE14580_UC,GPL570,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE16879_UC_CD,GPL570,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE73661_IFX,GPL6244,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
