task_id,signature_1,signature_2,n_subjects,spearman_rho
T_UNIFI_MH_W8,SIG_CROSS_UC4,SIG_UST_HUB4,358,-0.03310933000516931
T_UNIFI_MH_W8,SIG_CROSS_UC4,SIG_UST_MH2,358,0.05114057574290979
T_UNIFI_MH_W8,SIG_CROSS_UC4,SIG_VDZ_ANDO7,358,-0.04858089887890233
T_UNIFI_MH_W8,SIG_UST4_COEF,SIG_UST_HUB4,358,0.3769777374543599
T_UNIFI_MH_W8,SIG_UST4_COEF,SIG_UST_MH2,358,0.22395289483185626
T_UNIFI_MH_W8,SIG_UST4_COEF,SIG_VDZ_ANDO7,358,0.23913598678916953
T_UNIFI_MH_W8,SIG_UST_HUB4,SIG_UST_MH2,358,0.5505173949880601
T_UNIFI_MH_W8,SIG_UST_HUB4,SIG_VDZ_ANDO7,358,0.3943043985929754
T_UNIFI_MH_W8,SIG_UST_MH2,SIG_VDZ_ANDO7,358,0.14063589675455623
T_UNIFI_REM_W8,SIG_ATNF_7GENE,SIG_ATNF_ARJIS5,364,0.7709729871622774
T_UNIFI_REM_W8,SIG_ATNF_7GENE,SIG_ATNF_OSM1,364,0.611484195224714
T_UNIFI_REM_W8,SIG_ATNF_7GENE,SIG_CROSS_UC4,364,0.7946287834208133
T_UNIFI_REM_W8,SIG_ATNF_7GENE,SIG_UST4_COEF,364,0.2904736608348065
T_UNIFI_REM_W8,SIG_ATNF_7GENE,SIG_UST_HUB4,364,-0.13606493133267727
T_UNIFI_REM_W8,SIG_ATNF_7GENE,SIG_UST_MH2,364,0.109411883259953
T_UNIFI_REM_W8,SIG_ATNF_7GENE,SIG_VDZ_ANDO7,364,-0.2601475734726046
T_UNIFI_REM_W8,SIG_ATNF_ARJIS5,SIG_ATNF_OSM1,364,0.6866473928716
T_UNIFI_REM_W8,SIG_ATNF_ARJIS5,SIG_CROSS_UC4,364,0.91317399910177
T_UNIFI_REM_W8,SIG_ATNF_ARJIS5,SIG_UST4_COEF,364,0.4062363539324934
T_UNIFI_REM_W8,SIG_ATNF_ARJIS5,SIG_UST_HUB4,364,-0.026214383375030948
T_UNIFI_REM_W8,SIG_ATNF_ARJIS5,SIG_UST_MH2,364,0.04727402112209086
T_UNIFI_REM_W8,SIG_ATNF_ARJIS5,SIG_VDZ_ANDO7,364,0.0649519845036657
T_UNIFI_REM_W8,SIG_ATNF_OSM1,SIG_CROSS_UC4,364,0.6938694365329228
T_UNIFI_REM_W8,SIG_ATNF_OSM1,SIG_UST4_COEF,364,0.24809040573936733
T_UNIFI_REM_W8,SIG_ATNF_OSM1,SIG_UST_HUB4,364,-0.0256814185616015
T_UNIFI_REM_W8,SIG_ATNF_OSM1,SIG_UST_MH2,364,0.012772533367786247
T_UNIFI_REM_W8,SIG_ATNF_OSM1,SIG_VDZ_ANDO7,364,-0.07455583485977517
T_UNIFI_REM_W8,SIG_CROSS_UC4,SIG_UST4_COEF,364,0.4338189830095185
T_UNIFI_REM_W8,SIG_CROSS_UC4,SIG_UST_HUB4,364,-0.020941698401225176
T_UNIFI_REM_W8,SIG_CROSS_UC4,SIG_UST_MH2,364,0.06387261555381107
T_UNIFI_REM_W8,SIG_CROSS_UC4,SIG_VDZ_ANDO7,364,-0.04549099717219269
T_UNIFI_REM_W8,SIG_UST4_COEF,SIG_UST_HUB4,364,0.38704259625803833
T_UNIFI_REM_W8,SIG_UST4_COEF,SIG_UST_MH2,364,0.23953779719657678
T_UNIFI_REM_W8,SIG_UST4_COEF,SIG_VDZ_ANDO7,364,0.2379876661321244
T_UNIFI_REM_W8,SIG_UST_HUB4,SIG_UST_MH2,364,0.5534012687188279
T_UNIFI_REM_W8,SIG_UST_HUB4,SIG_VDZ_ANDO7,364,0.39171662708399946
T_UNIFI_REM_W8,SIG_UST_MH2,SIG_VDZ_ANDO7,364,0.13807263720090618
T_UNITI2_CR_W8,SIG_ATNF_7GENE,SIG_ATNF_ARJIS5,86,0.5788291900561348
T_UNITI2_CR_W8,SIG_ATNF_7GENE,SIG_ATNF_OSM1,86,0.4651068446624841
T_UNITI2_CR_W8,SIG_ATNF_7GENE,SIG_CROSS_UC4,86,0.7417991414689372
T_UNITI2_CR_W8,SIG_ATNF_7GENE,SIG_VDZ_ANDO7,86,-0.29300438699938675
T_UNITI2_CR_W8,SIG_ATNF_ARJIS5,SIG_ATNF_OSM1,86,0.4721826501250059
T_UNITI2_CR_W8,SIG_ATNF_ARJIS5,SIG_CROSS_UC4,86,0.7970470305203076
T_UNITI2_CR_W8,SIG_ATNF_ARJIS5,SIG_VDZ_ANDO7,86,-0.15975281852917592
T_UNITI2_CR_W8,SIG_ATNF_OSM1,SIG_CROSS_UC4,86,0.3506297466861644
T_UNITI2_CR_W8,SIG_ATNF_OSM1,SIG_VDZ_ANDO7,86,0.004330392943063352
T_UNITI2_CR_W8,SIG_CROSS_UC4,SIG_VDZ_ANDO7,86,-0.23647341855747914
