signature_id,task_id,point_index,false_positive_rate,true_positive_rate,threshold
SIG_CROSS_UC4,T_PROGECT_MH_W6,16,0.38095238095238093,0.6190476190476191,0.2685031021
SIG_CROSS_UC4,T_PROGECT_MH_W6,17,0.38095238095238093,0.6666666666666666,0.2417578867
SIG_CROSS_UC4,T_PROGECT_MH_W6,18,0.4603174603174603,0.6666666666666666,-0.07525078211
SIG_CROSS_UC4,T_PROGECT_MH_W6,19,0.4603174603174603,0.7142857142857143,-0.09594792294
SIG_CROSS_UC4,T_PROGECT_MH_W6,20,0.5396825396825397,0.7142857142857143,-0.2167255166
SIG_CROSS_UC4,T_PROGECT_MH_W6,21,0.5396825396825397,0.8571428571428571,-0.2872324664
SIG_CROSS_UC4,T_PROGECT_MH_W6,22,0.6666666666666666,0.8571428571428571,-0.5545113458
SIG_CROSS_UC4,T_PROGECT_MH_W6,23,0.6666666666666666,0.9047619047619048,-0.5567369288
SIG_CROSS_UC4,T_PROGECT_MH_W6,24,0.746031746031746,0.9047619047619048,-0.6473988179
SIG_CROSS_UC4,T_PROGECT_MH_W6,25,0.746031746031746,0.9523809523809523,-0.6694563805
SIG_CROSS_UC4,T_PROGECT_MH_W6,26,0.7936507936507936,0.9523809523809523,-0.932370625
SIG_CROSS_UC4,T_PROGECT_MH_W6,27,0.7936507936507936,1.0,-0.9401035201
SIG_CROSS_UC4,T_PROGECT_MH_W6,28,1.0,1.0,-1.762977553
