signature_id,task_id,dataset_id,omitted_gene,n_genes_full,n_genes_retained,full_auroc,leave_one_gene_out_auroc,delta_auroc,direction_retained
SIG_ATNF_7GENE,T_UNIFI_REM_W8,GSE206285_UNIFI,PCBP3,7,6,0.7002915451895043,0.7056041464204729,0.00531260123096855,True
SIG_ATNF_7GENE,T_UNIFI_REM_W8,GSE206285_UNIFI,AMPD2,7,6,0.7002915451895043,0.6908325234855847,-0.009459021703919657,True
SIG_ATNF_7GENE,T_UNIFI_REM_W8,GSE206285_UNIFI,FAM155A,7,6,0.7002915451895043,0.686945254292193,-0.01334629089731132,True
SIG_ATNF_7GENE,T_UNIFI_REM_W8,GSE206285_UNIFI,IL13RA2,7,6,0.7002915451895043,0.6992549400712665,-0.0010366051182377767,True
SIG_ATNF_7GENE,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,WNK2,7,6,0.5296052631578947,0.5158991228070176,-0.013706140350877138,True
SIG_ATNF_7GENE,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,OCRL,7,6,0.5296052631578947,0.506578947368421,-0.023026315789473673,True
SIG_ATNF_7GENE,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,ASB7,7,6,0.5296052631578947,0.5268640350877193,-0.0027412280701754055,True
SIG_ATNF_7GENE,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,PCBP3,7,6,0.5296052631578947,0.5422149122807017,0.012609649122807043,True
SIG_ATNF_7GENE,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,AMPD2,7,6,0.5296052631578947,0.5307017543859649,0.0010964912280702066,True
SIG_ATNF_7GENE,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,FAM155A,7,6,0.5296052631578947,0.5548245614035088,0.025219298245614086,True
SIG_ATNF_7GENE,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,IL13RA2,7,6,0.5296052631578947,0.5175438596491229,-0.012061403508771829,True
SIG_ATNF_ARJIS5,T_EMTAB7604_ER,E-MTAB-7604_ATNF,TNFRSF11B,5,4,0.7022222222222222,0.711111111111111,0.008888888888888835,True
SIG_ATNF_ARJIS5,T_EMTAB7604_ER,E-MTAB-7604_ATNF,STC1,5,4,0.7022222222222222,0.7022222222222222,0.0,True
SIG_ATNF_ARJIS5,T_EMTAB7604_ER,E-MTAB-7604_ATNF,PTGS2,5,4,0.7022222222222222,0.7000000000000001,-0.0022222222222221255,True
