signature_id,task_id,dataset_id,trial_id,evaluation_role,same_therapy,same_endpoint,same_disease,alignment_score,n_subjects,n_genes_used,frozen_auroc,z_recomputed_auroc,mad_auroc,rank_auroc,scaling_auroc_min,scaling_auroc_max,scaling_max_abs_delta,all_scalings_same_direction,frozen_classification,bootstrap_probability_auc_gt_0_5,jackknife_min_auroc,jackknife_max_auroc,jackknife_max_abs_delta,loo_gene_min_auroc,loo_gene_max_auroc,loo_gene_direction_retention_fraction,most_influential_gene,most_influential_gene_delta_auroc,orientation_patterns,published_orientation_percentile,orientation_null_min_auroc,orientation_null_median_auroc,orientation_null_max_auroc
SIG_CROSS_UC4,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,True,True,2,358,4,0.721618,0.7216177861873226,0.7214403973509933,0.7204943235572375,0.7204943235572375,0.7216177861873226,0.0011234626300851147,True,SUPPORTED_DIRECTION,1.0,0.7169175195665262,0.733112582781457,0.011494796594134327,0.7089049195837275,0.7223864711447493,1.0,IGFBP5,-0.012712866603595163,16,96.875,0.27838221381267736,0.5,0.7216177861873226
SIG_CROSS_UC4,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,True,1,364,4,0.70379,0.7037900874635569,0.7057985098801426,0.7038548752834467,0.7037900874635569,0.7057985098801426,0.00200842241658572,True,SUPPORTED_DIRECTION,1.0,0.6978835978835979,0.7166666666666667,0.012876579203109806,0.6904437965662455,0.7098153547133139,1.0,IGFBP5,-0.01334629089731132,16,96.875,0.2962099125364432,0.5,0.7037900874635569
SIG_CROSS_UC4,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,TRIAL_UNITI2,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,False,0,86,4,0.632127,0.632127192982456,0.6463815789473684,0.6370614035087719,0.632127192982456,0.6463815789473684,0.014254385964912353,True,SUPPORTED_DIRECTION,0.982,0.6221846846846848,0.6444568868980962,0.012329693915640205,0.6140350877192983,0.6705043859649122,1.0,VNN2,0.03837719298245623,16,90.625,0.3481359649122807,0.5,0.6518640350877194
SIG_UST4_COEF,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,False,0,43,4,0.462222,0.46222222222222226,0.4688888888888889,0.44,0.44,0.4688888888888889,0.022222222222222254,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.322,0.43529411764705883,0.4894117647058823,0.027189542483660067,0.4422222222222222,0.5222222222222221,0.25,CFI,0.05999999999999989,16,43.75,0.42444444444444446,0.5,0.5755555555555555
SIG_UST4_COEF,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,False,0,84,4,0.619048,0.6190476190476191,0.6160241874527589,0.5941043083900227,0.5941043083900227,0.6190476190476191,0.024943310657596363,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.9525,0.6023809523809525,0.6484126984126983,0.02936507936507926,0.417989417989418,0.6243386243386243,0.75,CFI,-0.20105820105820105,16,84.375,0.3688586545729403,0.5,0.6311413454270597
SIG_UST4_COEF,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,True,False,1,59,4,0.587963,0.5879629629629629,0.5844907407407407,0.59375,0.5844907407407407,0.59375,0.0057870370370370905,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.8845,0.5721153846153846,0.6069711538461539,0.019008190883190945,0.5243055555555556,0.6018518518518519,1.0,CFI,-0.06365740740740733,16,65.625,0.3912037037037037,0.5,0.6087962962962964
SIG_UST4_COEF,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,False,1,358,4,0.626478,0.6264782403027437,0.6251182592242195,0.6278973509933774,0.6251182592242195,0.6278973509933774,0.001419110690633718,True,SUPPORTED_DIRECTION,0.999,0.6198675496688743,0.6378085490668272,0.011330308764083474,0.5122989593188269,0.63191816461684,1.0,CFI,-0.11417928098391683,16,65.625,0.3642975402081362,0.5,0.6357024597918637
SIG_UST4_COEF,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,False,1,364,4,0.6839,0.6839002267573695,0.6831875607385811,0.6809199870424361,0.6809199870424361,0.6839002267573695,0.0029802397149334414,True,SUPPORTED_DIRECTION,1.0,0.6775132275132275,0.6973544973544974,0.013454270597127893,0.549789439585358,0.6880466472303207,1.0,CFI,-0.13411078717201153,16,84.375,0.3087787495950761,0.5,0.6912212504049238
SIG_UST_HUB4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,False,0,43,4,0.613333,0.6133333333333333,0.6088888888888888,0.6044444444444445,0.6044444444444445,0.6133333333333333,0.008888888888888835,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.9045,0.5905882352941176,0.6447058823529411,0.03137254901960784,0.5866666666666667,0.6311111111111112,1.0,DUOX2,-0.026666666666666616,16,84.375,0.33555555555555555,0.5,0.6644444444444444
SIG_UST_HUB4,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,False,0,84,4,0.483749,0.48374905517762656,0.47694633408919124,0.4739229024943311,0.4739229024943311,0.48374905517762656,0.009826152683295453,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.4105,0.4595238095238095,0.5079365079365079,0.024225245653817062,0.46258503401360546,0.5011337868480726,0.25,PDZK1IP1,-0.021164021164021107,16,34.375,0.4444444444444444,0.5,0.5555555555555556
SIG_UST_HUB4,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,True,False,1,59,4,0.5625,0.5625,0.5590277777777778,0.5381944444444445,0.5381944444444445,0.5625,0.02430555555555547,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.798,0.548076923076923,0.5817307692307693,0.019230769230769273,0.5578703703703705,0.5729166666666667,1.0,LCN2,0.01041666666666674,16,81.25,0.42708333333333337,0.5,0.5729166666666667
SIG_UST_HUB4,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,False,1,358,4,0.441462,0.4414616840113529,0.44039735099337746,0.44208254493850524,0.44039735099337746,0.44208254493850524,0.0010643330179754273,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.0755,0.4322095123419627,0.4493076459963877,0.009252171669390186,0.4338930936613056,0.4499763481551561,0.0,MUC1,0.008514664143803197,16,21.875,0.41118732261116364,0.5,0.5888126773888364
SIG_UST_HUB4,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,False,1,364,4,0.489796,0.4897959183673469,0.48882410106899904,0.49721412374473595,0.48882410106899904,0.49721412374473595,0.00741820537738902,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.3935,0.4800925925925925,0.49947089947089945,0.009703325774754412,0.48247489471979266,0.5017816650469711,0.25,MUC1,0.011985746679624154,16,46.875,0.3875607385811468,0.49999999999999994,0.6124392614188532
SIG_UST_MH2,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,False,0,43,2,0.584444,0.5844444444444444,0.5688888888888889,0.611111111111111,0.5688888888888889,0.611111111111111,0.026666666666666616,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.833,0.56,0.6164705882352941,0.03202614379084967,0.5544444444444445,0.611111111111111,1.0,LCN2,-0.029999999999999916,4,62.5,0.3977777777777778,0.5,0.6022222222222222
